id,email,ip_address,currency,stock_name,price
1,ploftin0@youtu.be,154.20.236.5,Taka,City Holding Company,31.38
2,aeddison1@symantec.com,21.62.18.251,Franc,"Tesla ",28.72
3,sbroggio2@webmd.com,84.39.58.184,Euro,"NL Industries",30.58
4,ahazelgreave3@feedburner.com,245.101.3.50,Ruble,"Hostess Brands",71.75
5,cruckhard4@noaa.gov,121.241.144.168,Euro,"Ra Pharmaceuticals",33.52
6,csemble5@dmoz.org,59.109.141.46,Zloty,"OpGen",94.00
7,kdoole6@amazon.co.jp,107.101.80.127,Dram,Rosehill Resources Inc.,53.10
8,dcathenod7@t-online.de,234.87.39.38,Rupiah,Citizens First Corporation,76.83
9,gcarlens8@123-reg.co.uk,80.45.249.89,Rupiah,VictoryShares International Volatility Wtd ETF,32.23
10,qmutimer9@netlog.com,167.154.95.55,Yuan Renminbi,"Gevo",95.84
11,elackemanna@clickbank.net,183.190.55.221,Rupiah,iShares iBoxx  High Yield ex Oil & Gas Corporate Bond ETF,3.53
12,gapperleyb@cdc.gov,74.43.190.126,Zloty,PICO Holdings Inc.,82.20
13,bgoolyc@alexa.com,65.185.226.233,Euro,MSG Networks Inc.,76.27
14,snaveind@salon.com,199.8.180.253,Zloty,"Extraction Oil & Gas",18.85
15,njagielloe@netscape.com,241.177.38.1,Real,"Prudential Short Duration High Yield Fund",91.99
16,cbedburyf@purevolume.com,242.131.175.106,Yuan Renminbi,Lehman ABS Corporation,98.54
17,msouthbyg@house.gov,11.40.186.77,Peso,CPS Technologies Corp.,9.06
18,amealhamh@slate.com,105.221.134.225,Rupiah,Clearwater Paper Corporation,82.66
19,cmillikeni@mac.com,154.160.241.115,Sol,Select Income REIT,56.11
20,kvernaj@a8.net,213.164.189.62,Yuan Renminbi,"Sykes Enterprises Incorporated",69.17
21,jkaremank@pagesperso-orange.fr,118.249.131.115,Dollar,Davis Select U.S. Equity ETF,57.97
22,ngarnhaml@woothemes.com,200.31.34.142,Hryvnia,"Stage Stores",14.28
23,menrdigom@sitemeter.com,86.147.140.141,Naira,Kimco Realty Corporation,51.26
24,nantonettin@who.int,160.232.136.105,Yen,Center Coast MLP & Infrastructure Fund,33.00
25,afroscho@cornell.edu,52.118.219.40,Krona,First Trust Large Cap Growth AlphaDEX Fund,64.67
26,amuinop@yellowbook.com,227.177.25.184,Yuan Renminbi,NASDAQ TEST STOCK,24.87
27,dgosdenq@sakura.ne.jp,234.14.37.249,Real,DDR Corp.,73.70
28,kgillowr@sakura.ne.jp,156.92.57.234,Koruna,Ellington Residential Mortgage REIT,0.93
29,ecastigliones@constantcontact.com,128.217.234.160,Euro,MakeMyTrip Limited,13.82
30,bbanhamt@1und1.de,234.174.18.152,Sol,SpartanNash Company,49.62
31,bcussinsu@ucla.edu,23.3.54.141,Real,Herbalife LTD.,14.66
32,jhugganv@blogger.com,115.9.163.220,Ruble,Howard Hughes Corporation (The),81.28
33,mleglisew@oaic.gov.au,112.128.126.124,Ruble,Nuveen Multi-Market Income Fund,69.21
34,emasox@stanford.edu,142.119.155.102,Pound,"The Meet Group",22.69
35,mjoirisy@utexas.edu,188.79.228.88,Krona,"Kingstone Companies Inc",11.54
36,jautenz@samsung.com,8.198.170.59,Rupiah,"Mexico Fund (The)",1.31
37,mswin10@hud.gov,182.176.12.112,Franc,"Maxwell Technologies",2.96
38,twhitlam11@huffingtonpost.com,128.18.92.145,Real,PowerShares 1-30 Laddered Treasury Portfolio,70.07
39,mwannell12@goo.gl,140.170.183.80,Rand,Liberty Media Corporation,64.43
40,mshuard13@nature.com,213.113.194.253,Yuan Renminbi,EXFO Inc,42.49
41,lapthorpe14@dedecms.com,24.235.70.124,Yuan Renminbi,Heico Corporation,9.76
42,kbyres15@a8.net,9.211.121.177,Yuan Renminbi,Gabelli Dividend,2.15
43,jrown16@guardian.co.uk,41.22.88.42,Rupiah,Dolby Laboratories,31.59
44,gmartindale17@domainmarket.com,106.16.134.26,Yuan Renminbi,NVE Corporation,62.42
45,fmcglone18@discovery.com,208.115.48.182,Denar,"BLACKROCK INTERNATIONAL",87.88
46,odisdel19@nyu.edu,73.55.135.124,Euro,"Delta Natural Gas Company",92.77
47,fkhomin1a@wp.com,53.197.113.10,Yuan Renminbi,"ScanSource",98.23
48,mfurnell1b@mapy.cz,210.49.76.219,Rupiah,"Sunworks",67.89
49,nsaltman1c@state.tx.us,169.229.230.140,Euro,"Interpublic Group of Companies (The)",64.25
50,lales1d@virginia.edu,78.83.223.83,Ruble,Diageo plc,82.12
51,nderham1e@behance.net,178.252.142.131,Tugrik,"General American Investors",24.98
52,ccreus1f@typepad.com,80.195.100.17,Rial,Eli Lilly and Company,32.61
53,tfeatonby1g@weebly.com,172.126.78.35,Peso,"Blackrock MuniAssets Fund",60.58
54,vbowcock1h@github.com,187.58.168.198,Yuan Renminbi,"Turkish Investment Fund (The)",48.15
55,igillibrand1i@lycos.com,245.101.96.213,Rupiah,Teradata Corporation,64.37
56,bsirmon1j@cnn.com,204.81.218.231,Rupiah,Entravision Communications Corporation,77.24
57,rreaper1k@zimbio.com,250.72.154.81,Ruble,Nuveen Diversified Dividend and Income Fund,46.80
58,boddey1l@exblog.jp,54.2.213.194,Euro,Atomera Incorporated,95.92
59,nmcconnulty1m@marriott.com,107.72.123.144,Zloty,Anixter International Inc.,20.00
60,pokane1n@ow.ly,135.205.116.226,Rupiah,The Gabelli Healthcare & Wellness Trust,17.77
61,edallosso1o@tuttocitta.it,130.63.145.8,Yuan Renminbi,BullMark LatAm Select Leaders ETF,24.43
62,dpeggram1p@barnesandnoble.com,69.191.196.26,Tenge,BlackRock New Jersey Municipal Income Trust,83.93
63,jparman1q@amazon.co.jp,80.203.121.135,Shekel,"Prudential Financial",72.10
64,rshepperd1r@businessinsider.com,100.99.27.10,Yuan Renminbi,"InterDigital",55.42
65,rcartmale1s@linkedin.com,66.166.199.111,Ruble,"Blackrock MuniHoldings New York Quality Fund",75.42
66,stilbrook1t@reverbnation.com,13.237.140.53,Krona,"Aevi Genomic Medicine",87.86
67,mbarnhart1u@kickstarter.com,125.193.202.145,Yen,Ames National Corporation,19.15
68,ngianasi1v@yandex.ru,41.22.159.47,Dollar,CM Finance Inc,80.27
69,cmaccorley1w@jigsy.com,101.105.131.107,Dollar,"Athenex",2.26
70,efarfull1x@elegantthemes.com,22.216.169.16,Ruble,Pangaea Logistics Solutions Ltd.,84.70
71,ksaye1y@prlog.org,117.82.135.248,Yuan Renminbi,NovoCure Limited,89.19
72,kbarehead1z@businessinsider.com,115.77.148.30,Koruna,"Highwoods Properties",1.03
73,rbernier20@technorati.com,142.78.207.104,Koruna,"Daktronics",85.49
74,rmcclancy21@spotify.com,33.232.1.161,Yuan Renminbi,"Photronics",74.13
75,ipee22@timesonline.co.uk,98.54.232.140,Yuan Renminbi,Splunk Inc.,8.83
76,pnelsen23@nba.com,29.26.76.171,Litas,ENDRA Life Sciences Inc.,96.52
77,sortiger24@princeton.edu,47.33.26.218,Lev,LyondellBasell Industries NV,62.99
78,dfebry25@psu.edu,185.85.51.162,Peso,Washington Prime Group Inc.,25.84
79,asambiedge26@gov.uk,201.155.188.77,Tenge,"Alliance Holdings GP L.P..",98.11
80,msymons27@multiply.com,217.252.40.130,Peso,"Validus Holdings",59.54
81,tnorley28@plala.or.jp,170.24.219.163,Ringgit,MSCI Inc,20.71
82,gdunderdale29@google.ru,113.72.168.28,Pound,Ciner Resources LP,87.28
83,sseifert2a@howstuffworks.com,2.118.136.81,Yuan Renminbi,Bank of America Corporation,20.29
84,mhantusch2b@issuu.com,97.187.242.54,Real,Nuveen Municipal High Income Opportunity Fund,64.21
85,jlorence2c@theguardian.com,78.126.51.211,Rupiah,Cenovus Energy Inc,62.90
86,kprue2d@digg.com,183.118.224.220,Euro,At Home Group Inc.,93.95
87,wpurvess2e@tinyurl.com,58.228.244.145,Zloty,Acadia Realty Trust,9.13
88,thebdon2f@uiuc.edu,179.43.150.204,Yuan Renminbi,"Heron Therapeutics  ",63.72
89,bharce2g@php.net,112.113.116.57,Ruble,"Community Trust Bancorp",9.93
90,xblackley2h@purevolume.com,105.25.23.144,Ruble,Morgan Stanley,2.73
91,cbernet2i@macromedia.com,143.97.2.240,Peso,Capitala Finance Corp.,83.60
92,afraczek2j@printfriendly.com,236.37.20.116,Euro,"Prosperity Bancshares",92.11
93,bpipes2k@ifeng.com,187.157.119.155,Yuan Renminbi,"Goldman Sachs Group (The)",99.69
94,kozanne2l@ifeng.com,99.198.230.61,Yuan Renminbi,American Vanguard Corporation,96.87
95,nbeane2m@hexun.com,252.218.76.247,Quetzal,Fabrinet,13.67
96,nmoorey2n@zdnet.com,169.171.153.191,Zloty,"Superior Industries International",39.83
97,bpigden2o@google.nl,129.53.205.253,Yuan Renminbi,United Technologies Corporation,89.26
98,vranstead2p@wordpress.org,252.176.74.226,Rupiah,First Trust High Income Long Short Fund,81.88
99,lmcluckie2q@uol.com.br,54.7.4.163,Lek,"CryoLife",93.78
100,rfrostdicke2r@1und1.de,254.246.252.133,Yen,IZEA Inc.,56.34
101,bzylbermann2s@ocn.ne.jp,168.61.175.99,Krone,"Blackrock MuniYield Quality Fund III",13.16
102,cbrantzen2t@weather.com,75.0.77.142,Rupiah,ManTech International Corporation,60.95
103,rcrimin2u@un.org,99.66.205.232,Rupiah,Nuveen S&P 500 Dynamic Overwrite Fund,77.53
104,imariyushkin2v@indiatimes.com,109.18.189.254,Peso,Nevro Corp.,94.85
105,smacnalley2w@usatoday.com,66.166.4.133,Peso,Citigroup Inc.,6.80
106,pharriagn2x@cnet.com,254.146.31.98,Dollar,Unilever PLC,99.09
107,mfilyushkin2y@xing.com,133.248.157.140,Yuan Renminbi,"Atlantic Capital Bancshares",80.86
108,bcrielly2z@github.com,56.135.160.97,Ariary,"Stock Yards Bancorp",21.49
109,asteptoe30@liveinternet.ru,6.221.47.90,Yuan Renminbi,Pacific Coast Oil Trust,64.12
110,zolin31@nytimes.com,112.205.52.22,Peso,"Affiliated Managers Group",79.95
111,lbraisby32@fastcompany.com,242.179.96.112,Rupiah,Nuveen Massachusetts Municipal Income Fund,32.27
112,tmarieton33@elegantthemes.com,252.132.24.32,Rupiah,Central Garden & Pet Company,96.68
113,jgreep34@biblegateway.com,203.172.122.235,Euro,"Anthera Pharmaceuticals",70.53
114,ryoules35@shinystat.com,177.20.114.34,Rupiah,Orange,71.39
115,lgarrity36@icq.com,240.16.4.249,Euro,"DineEquity Inc",68.07
116,npoulgreen37@csmonitor.com,110.128.116.201,Peso,"Terra Nitrogen Company L.P..",5.69
117,sbrockton38@storify.com,84.87.178.29,Yuan Renminbi,"WPX Energy",91.94
118,ccluney39@surveymonkey.com,82.221.132.219,Euro,EVINE Live Inc.,51.70
119,sgommes3a@amazon.co.uk,65.217.180.111,Zloty,CABCO Series 2004-101 Trust,97.40
120,atruwert3b@ca.gov,143.153.6.241,Yuan Renminbi,"Monster Digital",15.81
121,jlacheze3c@booking.com,237.56.92.254,Euro,Emerson Electric Company,94.90
122,otixall3d@smh.com.au,197.168.47.177,Ruble,Vident International Equity Fund,0.75
123,nfilisov3e@google.pl,52.17.221.21,Euro,Smart,46.66
124,htookey3f@smh.com.au,102.156.233.99,Dollar,Orange,0.79
125,bdugan3g@parallels.com,227.30.253.79,Yuan Renminbi,SecureWorks Corp.,61.97
126,kpetroff3h@alexa.com,180.227.83.36,Yen,"Coherent",8.64
127,nocahill3i@amazonaws.com,61.49.44.9,Euro,Royal Caribbean Cruises Ltd.,96.43
128,sschirok3j@noaa.gov,57.51.5.215,Krone,"National Grid Transco PLC",33.23
129,dmanna3k@youtube.com,86.100.141.96,Rupiah,"Banc of California",46.86
130,mgiovannelli3l@state.tx.us,115.85.40.85,Yuan Renminbi,"Profire Energy",63.07
131,gmclagan3m@jalbum.net,183.107.51.204,Euro,Forum Merger Corporation,8.32
132,oglaze3n@paypal.com,63.50.239.181,Peso,"Eastern Virginia Bankshares",53.36
133,mfraine3o@ucsd.edu,177.191.30.4,Real,BB&T Corporation,15.04
134,mstigger3p@nymag.com,0.71.25.63,Hryvnia,Turkcell Iletisim Hizmetleri AS,51.53
135,hsandford3q@vimeo.com,109.169.159.61,Real,Arrow Financial Corporation,72.96
136,lhelgass3r@last.fm,4.93.213.242,Taka,Iamgold Corporation,33.19
137,fleggitt3s@alibaba.com,121.194.177.24,Rupiah,Center Coast MLP & Infrastructure Fund,39.70
138,ahallagan3t@istockphoto.com,28.20.227.198,Dollar,"Meridian Waste Solutions Inc",48.86
139,pdanton3u@trellian.com,216.176.66.92,Zloty,"C.H. Robinson Worldwide",79.94
